2024-06-10T21:06:10.260-0400 [INFO]  provider: configuring client automatic mTLS
2024-06-10T21:06:10.273-0400 [DEBUG] provider: starting plugin: path=.terraform/providers/registry.terraform.io/hashicorp/aws/5.44.0/linux_amd64/terraform-provider-aws_v5.44.0_x5 args=[".terraform/providers/registry.terraform.io/hashicorp/aws/5.44.0/linux_amd64/terraform-provider-aws_v5.44.0_x5"]
2024-06-10T21:06:10.274-0400 [DEBUG] provider: plugin started: path=.terraform/providers/registry.terraform.io/hashicorp/aws/5.44.0/linux_amd64/terraform-provider-aws_v5.44.0_x5 pid=18904
2024-06-10T21:06:10.274-0400 [DEBUG] provider: waiting for RPC address: path=.terraform/providers/registry.terraform.io/hashicorp/aws/5.44.0/linux_amd64/terraform-provider-aws_v5.44.0_x5
2024-06-10T21:06:10.394-0400 [INFO]  provider.terraform-provider-aws_v5.44.0_x5: configuring server automatic mTLS: timestamp=2024-06-10T21:06:10.394-0400
2024-06-10T21:06:10.406-0400 [DEBUG] provider.terraform-provider-aws_v5.44.0_x5: plugin address: address=/tmp/plugin1288472266 network=unix timestamp=2024-06-10T21:06:10.406-0400
2024-06-10T21:06:10.406-0400 [DEBUG] provider: using plugin: version=5
2024-06-10T21:06:10.416-0400 [TRACE] provider.stdio: waiting for stdio data
2024-06-10T21:06:10.417-0400 [TRACE] provider.terraform-provider-aws_v5.44.0_x5: Received request: @module=sdk.proto tf_req_id=deab7034-795e-6a81-afd3-b9591f4630e9 tf_rpc=GetProviderSchema @caller=github.com/hashicorp/terraform-plugin-go@v0.22.1/tfprotov5/tf5server/server.go:522 tf_proto_version=5.4 tf_provider_addr=registry.terraform.io/hashicorp/aws timestamp=2024-06-10T21:06:10.417-0400
2024-06-10T21:06:10.417-0400 [TRACE] provider.terraform-provider-aws_v5.44.0_x5: Sending request downstream: tf_provider_addr=registry.terraform.io/hashicorp/aws tf_rpc=GetProviderSchema @caller=github.com/hashicorp/terraform-plugin-go@v0.22.1/tfprotov5/internal/tf5serverlogging/downstream_request.go:22 tf_req_id=deab7034-795e-6a81-afd3-b9591f4630e9 @module=sdk.proto tf_proto_version=5.4 timestamp=2024-06-10T21:06:10.417-0400
2024-06-10T21:06:10.417-0400 [TRACE] provider.terraform-provider-aws_v5.44.0_x5: calling downstream server: @module=sdk.mux tf_mux_provider="*schema.GRPCProviderServer" tf_rpc=GetProviderSchema @caller=github.com/hashicorp/terraform-plugin-mux@v0.15.0/internal/logging/mux.go:19 timestamp=2024-06-10T21:06:10.417-0400
2024-06-10T21:06:10.417-0400 [TRACE] provider.terraform-provider-aws_v5.44.0_x5: Getting provider schema: @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.33.0/helper/schema/grpc_provider.go:110 @module=sdk.helper_schema tf_provider_addr=registry.terraform.io/hashicorp/aws tf_mux_provider="*schema.GRPCProviderServer" tf_req_id=deab7034-795e-6a81-afd3-b9591f4630e9 tf_rpc=GetProviderSchema timestamp=2024-06-10T21:06:10.417-0400
2024-06-10T21:06:10.418-0400 [TRACE] provider.terraform-provider-aws_v5.44.0_x5: Found resource type: tf_mux_provider="*schema.GRPCProviderServer" tf_resource_type=aws_redshift_usage_limit tf_rpc=GetProviderSchema @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.33.0/helper/schema/grpc_provider.go:128 @module=sdk.helper_schema tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_id=deab7034-795e-6a81-afd3-b9591f4630e9 timestamp=2024-06-10T21:06:10.418-0400
2024-06-10T21:06:10.418-0400 [TRACE] provider.terraform-provider-aws_v5.44.0_x5: Found resource type: @module=sdk.helper_schema tf_mux_provider="*schema.GRPCProviderServer" tf_provider_addr=registry.terraform.io/hashicorp/aws @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.33.0/helper/schema/grpc_provider.go:128 tf_req_id=deab7034-795e-6a81-afd3-b9591f4630e9 tf_resource_type=aws_s3_bucket_accelerate_configuration tf_rpc=GetProviderSchema timestamp=2024-06-10T21:06:10.418-0400
2024-06-10T21:06:10.418-0400 [TRACE] provider.terraform-provider-aws_v5.44.0_x5: Found resource type: tf_mux_provider="*schema.GRPCProviderServer" tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_id=deab7034-795e-6a81-afd3-b9591f4630e9 tf_resource_type=aws_service_discovery_public_dns_namespace tf_rpc=GetProviderSchema @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.33.0/helper/schema/grpc_provider.go:128 @module=sdk.helper_schema timestamp=2024-06-10T21:06:10.418-0400
2024-06-10T21:06:10.418-0400 [TRACE] provider.terraform-provider-aws_v5.44.0_x5: Found resource type: tf_mux_provider="*schema.GRPCProviderServer" tf_provider_addr=registry.terraform.io/hashicorp/aws @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.33.0/helper/schema/grpc_provider.go:128 tf_resource_type=aws_dlm_lifecycle_policy tf_rpc=GetProviderSchema @module=sdk.helper_schema tf_req_id=deab7034-795e-6a81-afd3-b9591f4630e9 timestamp=2024-06-10T21:06:10.418-0400
2024-06-10T21:06:10.418-0400 [TRACE] provider.terraform-provider-aws_v5.44.0_x5: Found resource type: tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_id=deab7034-795e-6a81-afd3-b9591f4630e9 tf_rpc=GetProviderSchema @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.33.0/helper/schema/grpc_provider.go:128 @module=sdk.helper_schema tf_mux_provider="*schema.GRPCProviderServer" tf_resource_type=aws_dms_event_subscription timestamp=2024-06-10T21:06:10.418-0400
2024-06-10T21:06:10.418-0400 [TRACE] provider.terraform-provider-aws_v5.44.0_x5: Found resource type: @module=sdk.helper_schema tf_provider_addr=registry.terraform.io/hashicorp/aws tf_resource_type=aws_ec2_transit_gateway_route_table_association tf_rpc=GetProviderSchema @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.33.0/helper/schema/grpc_provider.go:128 tf_mux_provider="*schema.GRPCProviderServer" tf_req_id=deab7034-795e-6a81-afd3-b9591f4630e9 timestamp=2024-06-10T21:06:10.418-0400
2024-06-10T21:06:10.418-0400 [TRACE] provider.terraform-provider-aws_v5.44.0_x5: Found resource type: tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_id=deab7034-795e-6a81-afd3-b9591f4630e9 @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.33.0/helper/schema/grpc_provider.go:128 tf_mux_provider="*schema.GRPCProviderServer" tf_resource_type=aws_ecs_service tf_rpc=GetProviderSchema @module=sdk.helper_schema timestamp=2024-06-10T21:06:10.418-0400
2024-06-10T21:06:10.418-0400 [TRACE] provider.terraform-provider-aws_v5.44.0_x5: Found resource type: @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.33.0/helper/schema/grpc_provider.go:128 tf_mux_provider="*schema.GRPCProviderServer" tf_provider_addr=registry.terraform.io/hashicorp/aws @module=sdk.helper_schema tf_req_id=deab7034-795e-6a81-afd3-b9591f4630e9 tf_resource_type=aws_eks_node_group tf_rpc=GetProviderSchema timestamp=2024-06-10T21:06:10.418-0400
2024-06-10T21:06:10.418-0400 [TRACE] provider.terraform-provider-aws_v5.44.0_x5: Found resource type: @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.33.0/helper/schema/grpc_provider.go:128 @module=sdk.helper_schema tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_id=deab7034-795e-6a81-afd3-b9591f4630e9 tf_resource_type=aws_oam_sink tf_rpc=GetProviderSchema tf_mux_provider="*schema.GRPCProviderServer" timestamp=2024-06-10T21:06:10.418-0400
2024-06-10T21:06:10.418-0400 [TRACE] provider.terraform-provider-aws_v5.44.0_x5: Found resource type: tf_req_id=deab7034-795e-6a81-afd3-b9591f4630e9 tf_provider_addr=registry.terraform.io/hashicorp/aws tf_resource_type=aws_opsworks_nodejs_app_layer tf_rpc=GetProviderSchema @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.33.0/helper/schema/grpc_provider.go:128 @module=sdk.helper_schema tf_mux_provider="*schema.GRPCProviderServer" timestamp=2024-06-10T21:06:10.418-0400
